iter	Passed	Remaining
418	2163	2999
419	2167	2992
420	2171	2985
421	2176	2980
422	2180	2974
423	2184	2967
424	2187	2960
425	2193	2955
426	2197	2949
427	2201	2942
428	2207	2938
429	2211	2931
430	2215	2924
431	2220	2919
432	2226	2915
433	2230	2908
434	2234	2902
435	2239	2897
436	2244	2891
437	2248	2884
438	2252	2878
439	2257	2873
440	2261	2866
441	2265	2860
442	2270	2855
443	2274	2848
444	2278	2842
445	2283	2836
446	2288	2830
447	2292	2825
448	2296	2818
449	2301	2812
450	2305	2806
451	2309	2800
452	2313	2793
453	2318	2788
454	2322	2781
455	2326	2775
456	2332	2771
457	2337	2766
458	2341	2759
459	2345	2753
460	2350	2748
461	2355	2742
462	2359	2736
463	2364	2731
464	2369	2726
465	2373	2719
466	2377	2713
467	2383	2709
468	2387	2703
469	2391	2696
470	2396	2691
471	2400	2685
472	2404	2678
473	2408	2672
474	2414	2668
475	2418	2662
476	2422	2655
477	2427	2651
478	2431	2644
479	2435	2638
480	2439	2632
481	2445	2627
482	2449	2621
483	2453	2615
484	2458	2610
485	2462	2604
486	2466	2598
487	2470	2591
488	2475	2586
489	2479	2580
490	2483	2574
491	2487	2568
492	2492	2563
493	2496	2556
494	2500	2550
495	2505	2545
496	2509	2539
497	2512	2533
498	2517	2527
499	2522	2522
500	2526	2516
501	2531	2510
502	2536	2505
503	2540	2500
504	2544	2494
505	2548	2488
506	2553	2483
507	2557	2477
508	2561	2471
509	2566	2466
510	2571	2460
511	2575	2454
512	2579	2448
513	2584	2444
514	2589	2438
515	2593	2432
516	2598	2427
517	2602	2421
518	2606	2415
519	2610	2409
520	2615	2404
521	2619	2398
522	2623	2393
523	2627	2387
524	2633	2382
525	2637	2376
526	2641	2370
527	2645	2365
528	2650	2360
529	2654	2354
530	2658	2348
531	2664	2343
532	2668	2337
533	2672	2332
534	2678	2327
535	2682	2321
536	2686	2316
537	2690	2310
538	2696	2306
539	2700	2300
540	2704	2294
541	2710	2290
542	2714	2284
543	2718	2278
544	2724	2274
545	2728	2269
546	2733	2263
547	2737	2258
548	2742	2253
549	2746	2247
550	2750	2241
551	2755	2236
552	2759	2230
553	2763	2224
554	2767	2219
555	2773	2214
556	2776	2208
557	2781	2203
558	2786	2198
559	2790	2192
560	2794	2186
561	2798	2181
562	2803	2176
563	2807	2170
564	2811	2164
565	2816	2159
566	2820	2154
567	2824	2148
568	2829	2143
569	2834	2138
570	2838	2132
571	2843	2127
572	2847	2121
573	2852	2117
574	2857	2111
575	2861	2106
576	2866	2101
577	2870	2095
578	2874	2090
579	2878	2084
580	2883	2079
581	2887	2074
582	2891	2068
583	2896	2063
584	2901	2058
585	2905	2052
586	2909	2046
587	2914	2042
588	2918	2036
589	2922	2030
590	2926	2025
591	2932	2020
592	2937	2015
593	2941	2010
594	2947	2006
595	2952	2001
596	2958	1996
597	2981	2004
598	2990	2001
599	2996	1997
600	3002	1993
601	3010	1990
602	3015	1985
603	3021	1981
604	3026	1976
605	3031	1970
606	3035	1965
607	3041	1960
608	3045	1955
609	3049	1949
610	3055	1945
611	3059	1939
612	3063	1934
613	3067	1928
614	3072	1923
615	3076	1917
616	3080	1912
617	3085	1907
618	3089	1901
619	3094	1896
620	3098	1891
621	3103	1886
622	3107	1880
623	3111	1875
624	3116	1870
625	3120	1864
626	3125	1859
627	3129	1853
628	3134	1848
629	3138	1843
630	3142	1837
631	3147	1832
632	3152	1827
633	3157	1823
634	3163	1818
635	3167	1813
636	3172	1807
637	3176	1802
638	3181	1797
639	3185	1791
640	3189	1786
641	3193	1780
642	3198	1775
643	3202	1770
644	3205	1764
645	3211	1759
646	3215	1754
647	3219	1749
648	3224	1743
649	3229	1739
650	3233	1733
651	3237	1728
652	3243	1723
653	3247	1717
654	3251	1712
655	3256	1707
656	3261	1702
657	3264	1696
658	3268	1691
659	3273	1686
660	3277	1680
661	3281	1675
662	3285	1669
663	3290	1665
664	3295	1659
665	3299	1654
666	3304	1649
667	3308	1644
668	3312	1638
669	3317	1633
670	3322	1628
671	3326	1623
672	3330	1618
673	3336	1613
674	3340	1608
675	3344	1603
676	3348	1597
677	3353	1592
678	3357	1587
679	3361	1581
680	3365	1576
681	3370	1571
682	3374	1566
683	3378	1560
684	3383	1555
685	3387	1550
686	3391	1545
687	3395	1539
688	3400	1535
689	3405	1529
690	3409	1524
691	3414	1519
692	3419	1514
693	3423	1509
694	3428	1504
695	3432	1499
696	3436	1493
697	3441	1489
698	3445	1483
699	3449	1478
700	3453	1473
701	3459	1468
702	3463	1463
703	3467	1457
704	3472	1452
705	3476	1447
706	3480	1442
707	3484	1437
708	3490	1432
709	3494	1427
710	3498	1421
711	3503	1417
712	3507	1411
713	3511	1406
714	3515	1401
715	3521	1396
716	3525	1391
717	3529	1386
718	3534	1381
719	3538	1376
720	3542	1370
721	3546	1365
722	3551	1360
723	3556	1355
724	3559	1350
725	3564	1345
726	3569	1340
727	3573	1335
728	3577	1329
729	3583	1325
730	3587	1320
731	3591	1314
732	3596	1309
733	3600	1304
734	3604	1299
735	3609	1294
736	3614	1289
737	3617	1284
738	3621	1279
739	3626	1274
740	3631	1269
741	3636	1264
742	3641	1259
743	3646	1254
744	3649	1249
745	3654	1244
746	3658	1239
747	3663	1234
748	3667	1229
749	3671	1223
750	3676	1219
751	3680	1213
752	3685	1208
753	3689	1203
754	3694	1198
755	3699	1193
756	3703	1188
757	3708	1184
758	3713	1179
759	3717	1173
760	3722	1169
761	3726	1164
762	3730	1158
763	3734	1153
764	3739	1148
765	3744	1143
766	3748	1138
767	3752	1133
768	3757	1128
769	3761	1123
770	3765	1118
771	3770	1113
772	3775	1108
773	3779	1103
774	3783	1098
775	3788	1093
776	3792	1088
777	3796	1083
778	3802	1078
779	3806	1073
780	3810	1068
781	3814	1063
782	3820	1058
783	3823	1053
784	3828	1048
785	3834	1043
786	3838	1038
787	3842	1033
788	3846	1028
789	3851	1023
790	3854	1018
791	3858	1013
792	3864	1008
793	3868	1003
794	3872	998
795	3877	993
796	3882	988
797	3885	983
798	3889	978
799	3894	973
800	3898	968
801	3903	963
802	3907	958
803	3912	953
804	3916	948
805	3920	943
806	3925	938
807	3929	933
808	3934	928
809	3938	923
810	3944	919
811	3948	914
812	3952	909
813	3956	904
814	3961	899
815	3965	894
816	3969	889
817	3974	884
818	3979	879
819	3983	874
820	3987	869
821	3991	864
822	3995	859
823	3999	854
824	4005	849
825	4009	844
826	4013	839
827	4017	834
828	4022	829
829	4026	824
830	4030	819
831	4034	814
832	4039	809
833	4043	804
834	4047	799
835	4052	794
836	4056	789
837	4059	784
838	4063	779
839	4069	775
840	4073	770
841	4077	765
842	4082	760
843	4087	755
844	4091	750
845	4095	745
846	4100	740
847	4104	735
848	4108	730
849	4113	725
850	4118	721
851	4122	716
852	4126	711
853	4131	706
854	4135	701
855	4139	696
856	4143	691
857	4148	686
858	4152	681
859	4156	676
860	4161	671
861	4165	666
862	4169	661
863	4173	656
864	4179	652
865	4183	647
866	4187	642
867	4193	637
868	4197	632
869	4202	627
870	4206	622
871	4211	618
872	4215	613
873	4219	608
874	4224	603
875	4229	598
876	4233	593
877	4238	588
878	4243	584
879	4247	579
880	4251	574
881	4256	569
882	4260	564
883	4264	559
884	4268	554
885	4273	549
886	4277	544
887	4281	540
888	4286	535
889	4291	530
890	4295	525
891	4299	520
892	4304	515
893	4308	510
894	4312	505
895	4316	501
896	4321	496
897	4325	491
898	4329	486
899	4335	481
900	4339	476
901	4343	471
902	4347	466
903	4352	462
904	4356	457
905	4360	452
906	4366	447
907	4370	442
908	4374	437
909	4378	433
910	4383	428
911	4387	423
912	4391	418
913	4396	413
914	4400	408
915	4404	403
916	4408	398
917	4413	394
918	4417	389
919	4421	384
920	4425	379
921	4430	374
922	4434	369
923	4439	365
924	4444	360
925	4448	355
926	4451	350
927	4457	345
928	4462	341
929	4466	336
930	4470	331
931	4476	326
932	4480	321
933	4484	316
934	4488	312
935	4493	307
936	4497	302
937	4501	297
938	4506	292
939	4510	287
940	4514	283
941	4518	278
942	4524	273
943	4528	268
944	4532	263
945	4537	259
946	4542	254
947	4546	249
948	4550	244
949	4554	239
950	4559	234
951	4563	230
952	4567	225
953	4572	220
954	4576	215
955	4580	210
956	4586	206
957	4591	201
958	4594	196
959	4599	191
960	4605	186
961	4609	182
962	4612	177
963	4617	172
964	4621	167
965	4625	162
966	4629	157
967	4634	153
968	4638	148
969	4642	143
970	4647	138
971	4651	133
972	4655	129
973	4659	124
974	4664	119
975	4668	114
976	4672	110
977	4677	105
978	4682	100
979	4687	95
980	4692	90
981	4697	86
982	4701	81
983	4705	76
984	4709	71
985	4713	66
986	4717	62
987	4722	57
988	4726	52
989	4730	47
990	4735	43
991	4739	38
992	4743	33
993	4748	28
994	4753	23
995	4757	19
996	4761	14
997	4766	9
998	4770	4
999	4775	0
