iter	Passed	Remaining
410	3495	5009
411	3503	5000
412	3510	4990
413	3519	4981
414	3526	4970
415	3534	4962
416	3541	4951
417	3549	4942
418	3556	4932
419	3569	4928
420	3576	4919
421	3586	4911
422	3596	4905
423	3604	4896
424	3613	4889
425	3623	4881
426	3633	4875
427	3641	4866
428	3650	4859
429	3658	4849
430	3669	4843
431	3679	4837
432	3687	4829
433	3699	4824
434	3707	4815
435	3717	4808
436	3725	4800
437	3734	4792
438	3743	4783
439	3752	4776
440	3762	4769
441	3771	4761
442	3782	4755
443	3791	4747
444	3800	4739
445	3811	4733
446	3819	4725
447	3829	4718
448	3836	4708
449	3846	4701
450	3854	4691
451	3864	4684
452	3873	4677
453	3882	4669
454	3892	4661
455	3900	4653
456	3910	4646
457	3918	4637
458	3928	4629
459	3935	4620
460	3945	4612
461	3952	4603
462	3962	4596
463	3971	4588
464	3982	4581
465	3993	4576
466	4001	4567
467	4016	4566
468	4026	4558
469	4034	4549
470	4044	4543
471	4054	4535
472	4061	4525
473	4072	4518
474	4080	4510
475	4091	4503
476	4099	4494
477	4108	4486
478	4116	4477
479	4128	4472
480	4140	4467
481	4149	4459
482	4161	4453
483	4171	4447
484	4179	4437
485	4190	4432
486	4198	4422
487	4209	4416
488	4221	4411
489	4227	4400
490	4238	4393
491	4246	4384
492	4256	4377
493	4265	4369
494	4273	4359
495	4283	4352
496	4290	4342
497	4302	4336
498	4310	4327
499	4322	4322
500	4333	4316
501	4340	4305
502	4347	4295
503	4358	4289
504	4370	4283
505	4379	4275
506	4389	4268
507	4401	4262
508	4412	4256
509	4422	4248
510	4433	4242
511	4441	4233
512	4452	4226
513	4461	4218
514	4470	4210
515	4479	4201
516	4489	4194
517	4500	4187
518	4510	4179
519	4520	4172
520	4530	4165
521	4538	4156
522	4549	4149
523	4558	4141
524	4570	4135
525	4583	4130
526	4593	4122
527	4602	4114
528	4613	4108
529	4622	4098
530	4632	4091
531	4641	4083
532	4650	4074
533	4661	4067
534	4668	4057
535	4679	4051
536	4688	4042
537	4697	4034
538	4706	4025
539	4715	4016
540	4726	4010
541	4736	4002
542	4746	3994
543	4757	3987
544	4767	3980
545	4777	3972
546	4790	3967
547	4801	3960
548	4813	3954
549	4826	3948
550	4836	3941
551	4845	3932
552	4856	3925
553	4865	3917
554	4875	3909
555	4885	3901
556	4895	3893
557	4906	3886
558	4919	3881
559	4929	3873
560	4941	3866
561	4952	3859
562	4961	3851
563	4973	3844
564	4983	3836
565	4992	3828
566	5005	3822
567	5017	3816
568	5026	3807
569	5037	3800
570	5051	3794
571	5060	3786
572	5070	3778
573	5081	3771
574	5088	3761
575	5099	3753
576	5109	3745
577	5117	3736
578	5129	3729
579	5138	3720
580	5150	3714
581	5165	3709
582	5177	3703
583	5186	3694
584	5198	3687
585	5209	3680
586	5218	3671
587	5229	3663
588	5239	3656
589	5248	3647
590	5259	3639
591	5268	3630
592	5279	3623
593	5287	3614
594	5297	3605
595	5307	3597
596	5316	3588
597	5327	3581
598	5334	3571
599	5356	3571
600	5364	3561
601	5373	3552
602	5380	3542
603	5391	3534
604	5398	3524
605	5408	3516
606	5415	3506
607	5425	3498
608	5432	3487
609	5443	3480
610	5453	3472
611	5461	3462
612	5471	3454
613	5479	3444
614	5488	3436
615	5496	3426
616	5505	3417
617	5512	3407
618	5523	3399
619	5530	3389
620	5539	3380
621	5547	3371
622	5558	3363
623	5567	3354
624	5576	3346
625	5586	3337
626	5594	3328
627	5604	3319
628	5611	3309
629	5621	3301
630	5631	3293
631	5640	3284
632	5650	3275
633	5657	3266
634	5667	3257
635	5676	3248
636	5684	3239
637	5691	3229
638	5702	3221
639	5710	3211
640	5719	3203
641	5729	3195
642	5738	3185
643	5747	3177
644	5756	3168
645	5766	3159
646	5775	3150
647	5783	3141
648	5791	3131
649	5800	3123
650	5808	3113
651	5818	3105
652	5829	3097
653	5837	3088
654	5847	3079
655	5854	3070
656	5864	3061
657	5873	3052
658	5882	3044
659	5893	3036
660	5901	3026
661	5909	3017
662	5917	3007
663	5927	2999
664	5935	2990
665	5945	2981
666	5953	2972
667	5962	2963
668	5970	2953
669	5979	2945
670	5987	2935
671	5996	2926
672	6003	2916
673	6013	2908
674	6022	2899
675	6030	2890
676	6038	2881
677	6046	2871
678	6054	2862
679	6061	2852
680	6071	2844
681	6080	2835
682	6092	2827
683	6099	2817
684	6108	2809
685	6115	2799
686	6124	2790
687	6131	2780
688	6141	2772
689	6148	2762
690	6157	2753
691	6164	2743
692	6172	2734
693	6180	2725
694	6188	2715
695	6196	2706
696	6203	2696
697	6211	2687
698	6219	2678
699	6226	2668
700	6234	2659
701	6241	2649
702	6249	2640
703	6256	2630
704	6263	2620
705	6272	2612
706	6280	2602
707	6290	2594
708	6298	2585
709	6306	2575
710	6314	2566
711	6322	2557
712	6329	2547
713	6337	2538
714	6345	2529
715	6354	2520
716	6361	2510
717	6368	2501
718	6375	2491
719	6383	2482
720	6390	2472
721	6398	2463
722	6404	2453
723	6412	2444
724	6419	2435
725	6426	2425
726	6434	2416
727	6441	2406
728	6448	2397
729	6455	2387
730	6463	2378
731	6470	2368
732	6479	2360
733	6486	2350
734	6494	2341
735	6502	2332
736	6511	2323
737	6518	2314
738	6527	2305
739	6535	2296
740	6542	2286
741	6550	2277
742	6558	2268
743	6566	2259
744	6573	2250
745	6583	2241
746	6591	2232
747	6599	2223
748	6606	2213
749	6614	2204
750	6621	2195
751	6629	2186
752	6636	2176
753	6644	2167
754	6651	2158
755	6658	2149
756	6666	2139
757	6674	2130
758	6683	2122
759	6692	2113
760	6699	2104
761	6708	2095
762	6717	2086
763	6728	2078
764	6735	2069
765	6743	2060
766	6750	2050
767	6758	2041
768	6765	2032
769	6773	2023
770	6780	2013
771	6789	2005
772	6811	2000
773	6864	2004
774	6906	2005
775	6919	1997
776	6934	1990
777	6953	1984
778	6965	1976
779	6979	1968
780	6994	1961
781	7007	1953
782	7021	1945
783	7034	1937
784	7048	1930
785	7063	1923
786	7076	1915
787	7091	1907
788	7106	1900
789	7120	1892
790	7135	1885
791	7148	1877
792	7162	1869
793	7174	1861
794	7188	1853
795	7210	1847
796	7226	1840
797	7242	1833
798	7256	1825
799	7272	1818
800	7288	1810
801	7301	1802
802	7315	1794
803	7328	1786
804	7344	1779
805	7363	1772
806	7378	1764
807	7393	1756
808	7408	1749
809	7421	1740
810	7434	1732
811	7445	1723
812	7457	1715
813	7468	1706
814	7480	1698
815	7492	1689
816	7505	1681
817	7519	1672
818	7533	1664
819	7547	1656
820	7561	1648
821	7575	1640
822	7588	1631
823	7601	1623
824	7616	1615
825	7629	1607
826	7644	1599
827	7660	1591
828	7673	1582
829	7685	1574
830	7698	1565
831	7711	1557
832	7726	1549
833	7739	1540
834	7752	1531
835	7769	1524
836	7784	1515
837	7797	1507
838	7811	1499
839	7825	1490
840	7841	1482
841	7855	1474
842	7868	1465
843	7882	1456
844	7895	1448
845	7909	1439
846	7923	1431
847	7936	1422
848	7950	1413
849	7965	1405
850	7981	1397
851	7998	1389
852	8012	1380
853	8028	1372
854	8042	1363
855	8058	1355
856	8072	1347
857	8089	1338
858	8106	1330
859	8124	1322
860	8140	1314
861	8155	1305
862	8170	1297
863	8186	1288
864	8201	1280
865	8215	1271
866	8227	1262
867	8241	1253
868	8256	1244
869	8290	1238
870	8308	1230
871	8328	1222
872	8349	1214
873	8369	1206
874	8389	1198
875	8403	1189
876	8417	1180
877	8428	1171
878	8441	1162
879	8456	1153
880	8468	1143
881	8481	1134
882	8495	1125
883	8508	1116
884	8522	1107
885	8534	1098
886	8546	1088
887	8559	1079
888	8573	1070
889	8586	1061
890	8601	1052
891	8622	1043
892	8642	1035
893	8657	1026
894	8671	1017
895	8683	1007
896	8694	998
897	8706	988
898	8719	979
899	8730	970
900	8744	960
901	8758	951
902	8772	942
903	8786	933
904	8800	923
905	8816	914
906	8831	905
907	8846	896
908	8860	887
909	8875	877
910	8889	868
911	8902	859
912	8915	849
913	8930	840
914	8944	830
915	8957	821
916	8972	812
917	8986	802
918	8999	793
919	9013	783
920	9028	774
921	9043	765
922	9056	755
923	9070	746
924	9083	736
925	9098	727
926	9113	717
927	9128	708
928	9142	698
929	9156	689
930	9170	679
931	9184	670
932	9198	660
933	9210	650
934	9224	641
935	9240	631
936	9255	622
937	9270	612
938	9284	603
939	9298	593
940	9310	583
941	9323	574
942	9338	564
943	9352	554
944	9367	545
945	9383	535
946	9398	525
947	9412	516
948	9428	506
949	9441	496
950	9456	487
951	9468	477
952	9484	467
953	9498	457
954	9509	448
955	9523	438
956	9538	428
957	9552	418
958	9567	409
959	9582	399
960	9606	389
961	9623	380
962	9637	370
963	9649	360
964	9663	350
965	9677	340
966	9687	330
967	9700	320
968	9712	310
969	9726	300
970	9739	290
971	9753	280
972	9767	271
973	9781	261
974	9797	251
975	9811	241
976	9822	231
977	9834	221
978	9848	211
979	9863	201
980	9878	191
981	9893	181
982	9908	171
983	9921	161
984	9932	151
985	9948	141
986	9962	131
987	9975	121
988	9988	111
989	10002	101
990	10016	90
991	10030	80
992	10043	70
993	10057	60
994	10070	50
995	10083	40
996	10096	30
997	10111	20
998	10126	10
999	10140	0
