iter	Logloss
0	0.6719316281
1	0.6507886551
2	0.6301400133
3	0.610809643
4	0.5971513352
5	0.5818301655
6	0.5685510556
7	0.5560098861
8	0.5433324552
9	0.5328653549
10	0.5226072512
11	0.5129502464
12	0.5053392014
13	0.4970402288
14	0.490167346
15	0.4833519299
16	0.4764400372
17	0.4712070745
18	0.4655720744
19	0.4614888176
20	0.4568685513
21	0.4530274071
22	0.4485800673
23	0.4455365702
24	0.4423193398
25	0.439383678
26	0.4365286099
27	0.4336529424
28	0.4306882401
29	0.4279958536
30	0.4259295186
31	0.4239262931
32	0.4220368187
33	0.4197167808
34	0.4179102962
35	0.4162533672
36	0.4147700739
37	0.4132240539
38	0.4115690286
39	0.4098518591
40	0.4081901599
41	0.406696305
42	0.4055272672
43	0.403839884
44	0.4027915735
45	0.4019618366
46	0.400469142
47	0.3994158858
48	0.3982548503
49	0.3972340495
50	0.3965283622
51	0.3955046121
52	0.3945688412
53	0.3939559449
54	0.3928534706
55	0.3921996558
56	0.3915002476
57	0.3908913999
58	0.3898704236
59	0.3891276131
60	0.3881752087
61	0.3876510449
62	0.387111559
63	0.3864623097
64	0.3859176124
65	0.3853376833
66	0.3847349417
67	0.3840548311
68	0.383461508
69	0.3828892766
70	0.3824749029
71	0.3820764779
72	0.3816193992
73	0.3811071231
74	0.3806184031
75	0.3800897592
76	0.3794665059
77	0.3791128725
78	0.3787023209
79	0.3782686179
80	0.3778924692
81	0.3775206569
82	0.3771491224
83	0.3767393533
84	0.3762728536
85	0.3760179514
86	0.3756717523
87	0.3753185674
88	0.3749585941
89	0.374447293
90	0.3740803752
91	0.3732398402
92	0.3730024661
93	0.3722774688
94	0.371900606
95	0.3715582266
96	0.3711927859
97	0.3708375949
98	0.3706422215
99	0.3702198114
100	0.3699118934
101	0.3695900061
102	0.3693202473
103	0.3687839691
104	0.3685302417
105	0.3683105908
106	0.3681100595
107	0.3678188019
108	0.3675596926
109	0.3672546752
110	0.3669727045
111	0.366729556
112	0.3664878016
113	0.3662990265
114	0.3658220553
115	0.3655377007
116	0.3652929434
117	0.365022156
118	0.3648235772
119	0.3646793183
120	0.3643230719
121	0.364069208
122	0.3638759284
123	0.3636524091
124	0.3634265961
125	0.3631651248
126	0.362933898
127	0.3626870762
128	0.3624589646
129	0.3621473587
130	0.361929019
131	0.3615039228
132	0.3613154743
133	0.3609355134
134	0.3607423581
135	0.360574821
136	0.3603673039
137	0.3601249987
138	0.3599204042
139	0.359758661
140	0.3594782991
141	0.3592522569
142	0.3590311581
143	0.3588212546
144	0.3587127734
145	0.3585346673
146	0.3584197169
147	0.3582492889
148	0.3580554852
149	0.3578491089
150	0.3575832696
151	0.3569113515
152	0.3567354854
153	0.3565468931
154	0.3564046671
155	0.3562939458
156	0.3561445047
157	0.3560458857
158	0.3558573299
159	0.3556952455
160	0.355568132
161	0.3553838175
162	0.355239193
163	0.3549557281
164	0.3547520427
165	0.3546115619
166	0.3544580478
167	0.3543414546
168	0.3542266261
169	0.3540549549
170	0.3539607478
171	0.3538071897
172	0.3536793133
173	0.3534878911
174	0.3534275189
175	0.3533281418
176	0.3530266491
177	0.3529224335
178	0.3527585794
179	0.3525515255
180	0.352449684
181	0.3522823931
182	0.3522291653
183	0.3520093997
184	0.3519213448
185	0.3518114547
186	0.351617339
187	0.3514996489
188	0.3513734129
189	0.351287971
190	0.3511484798
191	0.3510404179
192	0.350812611
193	0.3506315335
194	0.3504499856
195	0.3503538406
196	0.3501206468
197	0.3499751886
198	0.3494915557
199	0.3494138772
200	0.3493284012
201	0.3491897973
202	0.3491005407
203	0.3489362235
204	0.3488244639
205	0.3487267613
206	0.3485967325
207	0.3484819991
208	0.3482806757
209	0.3481943173
210	0.3480712184
211	0.3479754098
212	0.3477699377
213	0.3475697185
214	0.3474875063
215	0.3473933235
216	0.3473021267
217	0.3471345871
218	0.3469178148
219	0.3468346641
220	0.3467324912
221	0.3466733549
222	0.3465009744
223	0.3464092047
224	0.3463431946
225	0.3462354032
226	0.3461516042
227	0.3459785291
228	0.3458946935
229	0.3457832385
230	0.3456588136
231	0.3455489966
232	0.3454608808
233	0.3453059772
234	0.3452493393
235	0.3451103795
236	0.3450279894
237	0.3449090293
238	0.3447888408
239	0.3447088516
240	0.3445170783
241	0.3443537776
242	0.3442657446
243	0.3441794545
244	0.344095731
245	0.3440293309
246	0.3439239868
247	0.3437677085
248	0.3436519879
249	0.3435128331
250	0.3434146357
251	0.3432863449
252	0.3432168321
253	0.3431217303
254	0.3428933799
255	0.342801364
256	0.3427024403
257	0.3426266216
258	0.3425579814
259	0.3424099712
260	0.3422911355
261	0.341998781
262	0.3418730763
263	0.3418007872
264	0.3416476972
265	0.3414580153
266	0.341267278
267	0.3412150325
268	0.3411239575
269	0.3410414284
270	0.3408064967
271	0.3407167721
272	0.3404210246
273	0.3402858503
274	0.340202741
275	0.3400998953
276	0.3400375927
277	0.3396813804
278	0.3395685726
279	0.3394875743
280	0.3394392653
281	0.3393494457
282	0.3392885324
283	0.33900185
284	0.3389294536
285	0.338828202
286	0.3387257756
287	0.3386273271
288	0.3384453039
289	0.3383231385
290	0.3382440512
291	0.3381275799
292	0.337971967
293	0.3378756685
294	0.3378176899
295	0.3377076146
296	0.3376261214
297	0.3375630071
298	0.3374565953
299	0.3373602797
300	0.3372681005
301	0.3371594121
302	0.3370568443
303	0.337004845
304	0.3369574745
305	0.3368866698
306	0.3367694306
307	0.3366821703
308	0.3366123797
309	0.3365328536
310	0.3364268586
311	0.3363448439
312	0.3362476044
313	0.3361180363
314	0.3359986522
315	0.335878176
316	0.3357473209
317	0.3356840335
318	0.3355622459
319	0.3354755609
320	0.3353748261
321	0.3348719198
322	0.3347575569
323	0.3347074588
324	0.3346335975
325	0.3345155417
326	0.3343957505
327	0.3342832133
328	0.3341039591
329	0.3340256493
330	0.3338771686
331	0.3338407376
332	0.3337199421
333	0.3336235534
334	0.3334805303
335	0.3333677956
336	0.3333157451
337	0.3332084753
338	0.3331382532
339	0.3330666612
340	0.3330149154
341	0.3328978298
342	0.3327880494
343	0.3326957045
344	0.3325901263
345	0.3325056594
346	0.3323357067
347	0.3322442978
348	0.3321368598
349	0.3319975003
350	0.3319123728
351	0.3318086862
352	0.3316934433
353	0.3316151287
354	0.3314297978
355	0.3313523265
356	0.3312666701
357	0.3311641852
358	0.3309686996
359	0.3308813881
360	0.3305973894
361	0.3304604942
362	0.3303198891
363	0.330219298
364	0.3301489711
365	0.3300370652
366	0.3299793646
367	0.3298987928
368	0.3298102943
369	0.3295884934
370	0.3295025103
371	0.3293911236
372	0.3293197656
373	0.3291778443
374	0.3290914225
375	0.3289926547
376	0.3289161975
377	0.3288128423
378	0.3287435221
379	0.3286469554
380	0.328581618
381	0.3285193544
382	0.3284420318
383	0.3283983785
384	0.3283155057
385	0.3282538953
386	0.328194408
387	0.3281483854
388	0.3280234901
389	0.3279048006
390	0.327792083
391	0.3277317108
392	0.3276332502
393	0.3275099684
394	0.3274249287
395	0.3273442058
396	0.3272584592
397	0.3272066232
398	0.3270911171
399	0.32684401
400	0.3267665924
401	0.3267135474
402	0.326618843
403	0.3265580394
404	0.3265072929
405	0.3264560492
406	0.3263924011
407	0.326276583
408	0.3259568138
409	0.3258755449
410	0.3257817789
411	0.3256926613
412	0.3256060859
413	0.3254989648
414	0.3254329279
415	0.3253687069
416	0.3252957304
417	0.3252242823
418	0.3251359397
419	0.3250651277
420	0.3249707036
421	0.3249080353
422	0.3247716154
423	0.3246769012
424	0.324606333
425	0.3245511089
426	0.3244442291
427	0.3243548774
428	0.324303602
429	0.3242446875
430	0.3241627873
431	0.324093021
432	0.3240058241
433	0.3239120605
434	0.3238569753
435	0.3238176632
436	0.3237593215
437	0.3237067689
438	0.3236445247
439	0.3235665903
440	0.3234390381
441	0.3233395293
442	0.323282967
443	0.3231575817
444	0.3230950937
445	0.3230307021
446	0.3229521462
447	0.3228701339
448	0.3228186927
449	0.3227721778
450	0.322688781
451	0.3226271876
452	0.3225118741
453	0.3224201605
454	0.3222066349
455	0.3220858955
456	0.3220319778
457	0.3219122646
458	0.3218693718
459	0.3217805978
460	0.3215965734
461	0.3214937253
462	0.3214362952
463	0.3213975803
464	0.3213279822
465	0.3212525218
466	0.3211561282
467	0.3211208404
468	0.3210519346
469	0.32098961
470	0.3209420494
471	0.3208615824
472	0.3207807376
473	0.3206942622
474	0.3205885939
475	0.3205233492
476	0.3204418877
477	0.3202998932
478	0.3202452151
479	0.3201837607
480	0.3201227255
481	0.320054802
482	0.3199682388
483	0.3199271303
484	0.3198870577
485	0.3198595041
486	0.3197994464
487	0.3197185187
488	0.3196647668
489	0.3195905204
490	0.3191705113
491	0.3191125401
492	0.3190707417
493	0.3189976068
494	0.3189595524
495	0.3189085013
496	0.3188164952
497	0.318738512
498	0.3186646483
499	0.3186097971
500	0.3185531762
501	0.3185049404
502	0.3184615845
503	0.3182887629
504	0.3182310525
505	0.3181976903
506	0.3181474192
507	0.3180920025
508	0.3177068253
509	0.3176637302
510	0.3175987292
511	0.3175021357
512	0.3174508457
513	0.3174091546
514	0.3173018434
515	0.3172041457
516	0.31712373
517	0.3170167308
518	0.3169111599
519	0.3168279483
520	0.3167546428
521	0.3166799625
522	0.3166490378
523	0.3165984864
524	0.3165463359
525	0.316445116
526	0.3163574536
527	0.316313888
528	0.3162724504
529	0.3162157784
530	0.316185039
531	0.3161418123
532	0.316069433
533	0.3160306839
534	0.3156788811
535	0.3156428425
536	0.3155892198
537	0.3155654078
538	0.3154636176
539	0.3154323298
540	0.3153949384
541	0.3153240704
542	0.3152806925
543	0.3152421945
544	0.315168343
545	0.3151263252
546	0.3150563493
547	0.3149446238
548	0.3149157637
549	0.3148703944
550	0.3148002015
551	0.3147524118
552	0.3147082929
553	0.3146804956
554	0.3146233702
555	0.3145536502
556	0.3144870136
557	0.3144588068
558	0.3144114412
559	0.3143177508
560	0.3142812126
561	0.3142344271
562	0.3141794979
563	0.3141229502
564	0.3140728472
565	0.3140259545
566	0.3139577896
567	0.313901588
568	0.3138571498
569	0.3137908716
570	0.3137657336
571	0.3137205325
572	0.3136766379
573	0.3135524591
574	0.3135066584
575	0.3134265449
576	0.3133783773
577	0.3133519669
578	0.3130309108
579	0.3129977095
580	0.3129747019
581	0.3128951222
582	0.3128086785
583	0.3127264858
584	0.3126696504
585	0.3125968202
586	0.312509538
587	0.3124588305
588	0.3124145922
589	0.3123917113
590	0.3123639165
591	0.3122750572
